Date/Time,Location,Amount
2023-03-28 11:39:00,Chefs Kitchen CKNReg1,-15.75
2023-03-27 20:03:00,Ginger and Soy GINReg2,-12.9
2023-03-27 11:31:00,Chefs Kitchen CKNReg1,-12.64
2023-03-26 19:39:00,Tandor TANReg1,-13.92
2023-03-02 19:37:00,Panda Express PANReg2,-10.11
2023-03-02 11:36:00,Ginger and Soy GINReg2,-12.9
2023-03-01 19:58:00,JBS JBSReg1,-16.39
2023-03-01 12:55:00,Ginger and Soy GINReg2,-12.79
2023-02-28 19:05:00,Tandor TANReg1,-13.92
2023-02-28 15:13:00,The Cafe CAFReg2,-6.4
2023-02-28 11:56:00,Ginger and Soy GINReg2,-15.27
2023-02-27 20:03:00,Ginger and Soy GINReg2,-12.26
2023-02-27 12:56:00,Tandor TANReg1,-13.92
2023-02-26 12:32:00,The Cafe CAFReg2,-3.01
2023-02-26 12:14:00,Sazon SAZReg1,-12.35
2023-02-25 18:36:00,Tandor TANReg1,-13.92
2023-02-25 12:14:00,The Cafe CAFReg2,-6.4
2023-02-25 11:54:00,JBS JBSReg1,-17.25
2023-02-24 19:24:00,Tandor TANReg1,-13.92
2023-02-24 14:19:00,Beyu Blue BYBReg1,-5.54
2023-02-24 12:29:00,Ginger and Soy GINReg2,-19.14
2023-02-23 20:28:00,Ginger and Soy GINReg2,-16.66
2023-02-23 11:55:00,The Cafe CAFReg2,-3.01
2023-02-23 11:35:00,Sazon SAZReg1,-15.03
2023-02-22 21:40:00,Laundry - ASI LR - House FF,-1.25
2023-02-22 20:58:00,Laundry - ASI LR - House FF,-1.5
2023-02-22 19:15:00,JBS JBSReg1,-15.05
2023-02-22 11:59:00,Tandor TANReg1,-13.92
2023-02-21 11:38:00,Ginger and Soy GINReg2,-19.78
2023-02-21 09:55:00,General ePrint ePr-OIT-West,-0.04
2023-02-21 09:53:00,General ePrint ePr-OIT-West,-0.08
2023-02-20 20:00:00,Tandor TANReg1,-13.92
2023-02-20 12:40:00,Ginger and Soy GINReg2,-12.9
2023-02-19 14:03:00,The Cafe CAFReg2,-6.4
2023-02-19 13:40:00,Tandor TANReg1,-13.92
2023-02-18 14:51:00,Ginger and Soy GINReg2,-3.87
2023-02-18 11:12:00,Ginger and Soy GINReg2,-12.69
2023-02-17 21:07:00,Bella Union BELReg1,-4.35
2023-02-17 14:15:00,Sazon SAZReg1,-15.03
2023-02-16 17:14:00,Sazon SAZReg1,-12.35
2023-02-16 15:36:00,Ginger and Soy GINReg2,-3.87
2023-02-16 11:35:00,Ginger and Soy GINReg2,-15.27
2023-02-15 19:56:00,Tandor TANReg1,-13.92
2023-02-15 13:09:00,Ginger and Soy GINReg2,-12.9
2023-02-14 19:14:00,Ginger and Soy GINReg2,-3.87
2023-02-14 19:03:00,Ginger and Soy GINReg2,-12.79
2023-02-14 12:46:00,Sazon SAZReg1,-15.03
2023-02-13 19:59:00,Ginger and Soy GINReg2,-12.79
2023-02-13 11:35:00,Tandor TANReg1,-13.92
2023-02-12 12:29:00,Ginger and Soy GINReg2,-12.79
2023-02-11 20:08:00,Panda Express PANReg1,-10.11
2023-02-10 21:18:00,Devils Krafthouse KRAWeb1,-12.31
2023-02-10 16:58:00,Red Mango REDWeb1,-7.2
2023-02-10 14:54:00,The Cafe CAFReg2,-5.43
2023-02-10 13:19:00,Ginger and Soy GINReg2,-12.79
2023-02-09 19:44:00,Sazon SAZReg1,-15.03
2023-02-09 16:36:00,The Cafe CAFReg2,-6.4
2023-02-09 11:36:00,Ginger and Soy GINReg2,-15.27
2023-02-08 18:38:00,Ginger and Soy GINReg2,-12.9
2023-02-08 11:38:00,Tandor TANReg1,-13.92
2023-02-07 22:45:00,Laundry - ASI LR - House FF,-1.25
2023-02-07 22:06:00,Laundry - ASI LR - House FF,-1.5
2023-02-07 19:09:00,Ginger and Soy GINReg2,-15.27
2023-02-07 11:36:00,Tandor TANReg1,-13.92
2023-02-06 13:12:00,The Cafe CAFReg2,-3.01
2023-02-06 11:34:00,Sazon SAZReg1,-15.03
2023-02-05 12:32:00,Ginger and Soy GINReg2,-12.26
2023-02-04 21:14:00,Lobby Shop 7200-28-NET-LS,-1.34
2023-02-04 20:21:00,JBS JBSReg1,-12.42
2023-02-04 13:18:00,The Cafe CAFReg2,-7.1
2023-02-04 13:07:00,Tandor TANReg1,-13.92
2023-02-03 20:48:00,Ginger and Soy GINReg2,-3.87
2023-02-03 20:48:00,Sazon SAZReg1,-15.03
2023-02-03 14:35:00,Tandor TANReg1,-13.92
2023-02-02 11:33:00,Tandor TANReg1,-13.92
2023-02-01 19:14:00,JBS JBSReg1,-13.76
2023-02-01 11:41:00,Tandor TANReg1,-13.92
2023-01-31 18:41:00,JBS JBSReg1,-13.76
2023-02-06 13:12:00,The Cafe CAFReg2,-3.01
2023-02-06 11:34:00,Sazon SAZReg1,-15.03
2023-02-05 12:32:00,Ginger and Soy GINReg2,-12.26
2023-02-04 21:14:00,Lobby Shop 7200-28-NET-LS,-1.34
2023-02-04 20:21:00,JBS JBSReg1,-12.42
2023-02-04 13:18:00,The Cafe CAFReg2,-7.1
2023-02-04 13:07:00,Tandor TANReg1,-13.92
2023-02-03 20:48:00,Ginger and Soy GINReg2,-3.87
2023-02-03 20:48:00,Sazon SAZReg1,-15.03
2023-02-03 14:35:00,Tandor TANReg1,-13.92
2023-02-02 11:33:00,Tandor TANReg1,-13.92
2023-02-01 19:14:00,JBS JBSReg1,-13.76
2023-02-01 11:41:00,Tandor TANReg1,-13.92
2023-01-31 18:41:00,JBS JBSReg1,-13.76
2023-01-17 18:26:00,Tandor TANReg1,-13.92
2023-01-17 11:34:00,Sprout SPRReg1,-15.37
2023-01-16 19:05:00,Tandor TANReg1,-13.92
2023-01-16 12:31:00,Ginger and Soy GINReg2,-12.15
2023-01-15 18:33:00,Tandor TANReg1,-13.92
2023-01-14 12:23:00,Ginger and Soy GINReg2,-16.56
2023-01-13 11:44:00,Ginger and Soy GINReg2,-12.9
2023-01-12 18:56:00,Ginger and Soy GINReg2,-12.26
2023-01-12 09:59:00,Skillet SKIReg1,-10.16
2023-01-11 20:02:00,Sazon SAZReg1,-12.35
2023-01-11 11:50:00,Tandor TANReg1,-13.92
2023-01-10 18:06:00,Ginger and Soy GINReg2,-12.9
2023-01-05 13:51:00,DukeCard Offices DCO TelOfc Manual,0.12
2023-01-05 12:44:00,DukeCard Offices DCO TelOfc Manual,187.05
2023-01-05 12:43:00,DukeCard Offices DCO TelOfc Manual,2494.0
2023-01-17 18:26:00,Tandor TANReg1,-13.92
2023-01-17 11:34:00,Sprout SPRReg1,-15.37
2023-01-16 19:05:00,Tandor TANReg1,-13.92
2023-01-16 12:31:00,Ginger and Soy GINReg2,-12.15
